date,btc_in_trust,net_assets_usd,implied_btc_px,nav_usd,closing_price_usd,premium_discount_pct,shares_outstanding,share_delta,btc_delta,management_fee_pct,est_fee_drain_btc,w_shares,flow_method_agreement,flow_btc_final,flow_usd_final,cumulative_flow_usd,btc_inventory,cost_basis_usd,avg_buy_price_ex_fee,effective_cost_per_current_btc,confidence_score_0_1,observed_annual_fee_drag_pct,estimated_annual_fee_pct,fee_model_error_pct,obs_ts_utc
2025-11-21,779357.5067575766,65464752668.00001,83998.3603165195,47.659255,47.659255,0.0,1373600000.0,-7240000.0,-4113.220269916928,0.25,5.366237856352695,1.0,0.9999999955263275,-4107.854068814963,-345053006.1999999,49039717676.47996,781530.6209597714,67839401893.14833,86803.25514288493,87045.29218610599,0.999999989722226,0.24999828650162925,0.25,-1.7134983707478568e-06,backfill
2025-11-24,777889.0217408913,69074392289.76001,88797.23245762632,50.381019,50.381019,0.0,1371040000.0,-2560000.0,-1468.4850166853284,0.25,16.014195344333768,1.0,0.9999999244837992,-1452.471040711168,-128975408.64,48910742267.83996,780078.1499190603,67713322678.81383,86803.25514288493,87047.53607047125,0.9999998279597727,0.24999657429899033,0.25,-3.425701009668325e-06,backfill
2025-11-25,776204.285632359,67596724721.68,87086.25547798627,49.409921,49.409921,0.0,1368080000.0,-2960000.0,-1684.7361085322918,0.25,5.328006998225282,1.0,0.9999999891352778,-1679.408138026672,-146253366.16,48764488901.679955,778398.7417810336,67567544585.71966,86803.25514288493,87048.66210661753,0.9999999750798585,0.24999829093891313,0.25,-1.7090610868741862e-06,backfill
2025-11-26,777152.1402643473,69833376902.24,89858.05131861307,50.982199,50.982199,0.0,1369760000.0,1680000.0,947.8546319883317,0.25,5.316467709810678,1.0,0.9999999808984772,953.1710632841041,85650094.32000001,48850138995.999954,779351.9128443177,67653194680.03966,86806.99125140143,87052.7032931126,0.9999999558522193,0.2499982855939109,0.25,-1.7144060890927904e-06,backfill
2025-11-28,777618.0734571329,70844288253.2,91104.22027389673,51.688522,51.688522,0.0,1370600000.0,840000.0,465.9331927855965,0.25,10.645919729648593,1.0,0.9999998852498538,476.579003140212,43418358.48,48893557354.47996,779828.491847458,67696613038.51966,86809.61743029232,87056.37812345872,0.9999997308309312,0.2499974310358477,0.25,-2.5689641522941287e-06,backfill
2025-12-01,776353.9377662335,66328136498.80001,85435.43514398135,48.471307,48.471307,0.0,1368400000.0,-2200000.0,-1264.1356908994494,0.25,15.978453564187662,1.0,0.9999999123185395,-1248.15745621578,-106636875.4,48786920479.079956,778580.3343912421,67588260967.2528,86809.61743029233,87058.56656272178,0.9999998005491821,0.24999657534853967,0.25,-3.4246514603319955e-06,backfill
2025-12-02,775577.0373490842,70792620257.28,91277.35459943258,51.785332,51.785332,0.0,1367040000.0,-1360000.0,-776.9004171492998,0.25,5.317492724426257,1.0,0.9999999763985824,-771.5829608457759,-70428051.52,48716492427.55996,777808.7514303963,67521280145.60605,86809.61743029233,87059.41111458537,0.9999999460398181,0.24999829183447453,0.25,-1.7081655254713723e-06,backfill
2025-12-03,776887.9459555065,72307143173.44,93072.8086976761,52.803604,52.803604,0.0,1369360000.0,2320000.0,1310.9086064223666,0.25,5.312171488692357,1.0,0.99999998617836,1316.2207415264,122504361.28,48838996788.83996,779124.9721719228,67643784506.88605,86820.19820044951,87070.19443285339,0.9999999680982099,0.24999828639221677,0.25,-1.7136077832269336e-06,backfill
2025-12-04,777336.4909541818,71652850148.88,92177.39162216963,52.295243,52.295243,0.0,1370160000.0,800000.0,448.54499867523555,0.25,5.321150314763743,1.0,0.9999999598493952,453.866112544,41836194.4,48880832983.23996,779578.8382844668,67685620701.28605,86823.31712625029,87073.7724125132,0.999999906700988,0.2499982873850337,0.25,-1.7126149662871626e-06,backfill
2025-12-05,776105.7366575961,69452699256.0,89488.70749894882,50.769517,50.769517,0.0,1368000000.0,-2160000.0,-1230.7542965856846,0.25,5.324222540782067,1.0,0.9999999851207533,-1225.430110511856,-109662156.72,48771170826.51996,778353.4081739549,67579224794.18502,86823.31712625029,87074.76520560724,0.9999999659064669,0.24999828835758908,0.25,-1.711642410917591e-06,backfill
2025-12-08,775726.7065554452,70220458307.2,90522.16162444503,51.35477,51.35477,0.0,1367360000.0,-640000.0,-379.03010215086397,0.25,15.94737815049855,1.0,0.9999996991668035,-363.08294245510405,-32867052.8,48738303773.719955,777990.3252314999,67547700728.72911,86823.31712625029,87076.67295440876,0.9999993333980907,0.2499965758226604,0.25,-3.4241773395893293e-06,backfill
