date,nav_usd,shares_outstanding,btc_per_share,btc_in_trust,net_assets_usd,closing_price_usd,premium_discount_pct,basket_usd,basket_btc,management_fee_pct,obs_ts_utc
2024-08-05,30.235834,604440000.0,0.0005692242991425,344061.9353737196,18275747502.960003,30.235834,0.0,,,0.25,backfill
2024-08-06,32.256835,604440000.0,0.0005692204003726,344059.57880126213,19497321347.4,32.256835,0.0,,,0.25,backfill
2024-08-07,31.259338,604440000.0,0.0005692165016295,344057.2222449453,18894394260.72,31.259338,0.0,,,0.25,backfill
2024-08-08,33.965716,606120000.0,0.000569212602913,345011.14287766325,20587299781.92,33.965716,0.0,,,0.25,backfill
2024-08-09,34.44798,610760000.0,0.0005692087042233,347649.9081914251,21039448264.8,34.44798,0.0,,,0.25,backfill
2024-08-12,33.613874,611040000.0,0.0005691970083142,347802.13996034383,20539421568.96,33.613874,0.0,,,0.25,backfill
2024-08-13,34.550255,611440000.0,0.0005691931097313,348027.4350141147,21125407917.2,34.550255,0.0,,,0.25,backfill
2024-08-14,33.544499,612440000.0,0.000569189211175,348594.2404920619,20543992967.56,33.544499,0.0,,,0.25,backfill
2024-08-15,32.557343,612520000.0,0.0005691853126455,348637.3877016429,19942023734.36,32.557343,0.0,,,0.25,backfill
2024-08-16,33.975587,612520000.0,0.0005691814141426,348634.99979068537,20810726549.24,33.975587,0.0,,,0.25,backfill
2024-08-19,33.578407,613120000.0,0.0005691697187943,348969.33798722184,20587592899.84,33.578407,0.0,,,0.25,backfill
2024-08-20,33.799973,615880000.0,0.0005691658203983,350537.84546694736,20816727371.24,33.799973,0.0,,,0.25,backfill
2024-08-21,34.802856,617520000.0,0.000569161922029,351468.87009137275,21491459637.120003,34.802856,0.0,,,0.25,backfill
2024-08-22,34.313944,617760000.0,0.0005691580236864,351603.06071251776,21197782045.44,34.313944,0.0,,,0.25,backfill
2024-08-23,36.178481,619960000.0,0.0005691541253704,352852.7915646857,22429211080.76,36.178481,0.0,,,0.25,backfill
2024-08-26,36.138148,622360000.0,0.0005691424305829,354211.48309757747,22490937789.280003,36.138148,0.0,,,0.25,backfill
2024-08-27,35.31521,628560000.0,0.0005691385323737,357737.71590886335,22197728397.6,35.31521,0.0,,,0.25,backfill
2024-08-28,33.763177,628560000.0,0.0005691346341913,357735.2656673177,21222182535.12,33.763177,0.0,,,0.25,backfill
2024-08-29,33.778586,628560000.0,0.0005691307360356,357732.8154425545,21231868016.16,33.778586,0.0,,,0.25,backfill
2024-08-30,33.535766,628160000.0,0.0005691268379066,357502.7144994107,21065826770.56,33.535766,0.0,,,0.25,backfill
2024-09-03,33.003412,628160000.0,0.0005691112456574,357492.92007220635,20731423281.92,33.003412,0.0,,,0.25,backfill
2024-09-04,32.927815,628160000.0,0.0005691073476619,357490.4715073331,20683936270.4,32.927815,0.0,,,0.25,backfill
2024-09-05,31.97239,628160000.0,0.0005691034496931,357488.02295923064,20083776502.4,31.97239,0.0,,,0.25,backfill
2024-09-06,30.484066,628160000.0,0.0005690995517509,357485.574427899,19148870898.56,30.484066,0.0,,,0.25,backfill
2024-09-09,32.343335,628160000.0,0.0005690878580847,357478.2289345274,20316789313.6,32.343335,0.0,,,0.25,backfill
2024-09-10,32.825934,627880000.0,0.0005690839602494,357316.43696140766,20610747439.92,32.825934,0.0,,,0.25,backfill
2024-09-11,32.741859,627880000.0,0.0005690800624407,357313.9896053145,20557958428.92,32.741859,0.0,,,0.25,backfill
2024-09-12,33.172458,627880000.0,0.0005690761646588,357311.54226598394,20828322929.04,33.172458,0.0,,,0.25,backfill
2024-09-13,34.069464,627880000.0,0.0005690722669035,357309.0949434159,21391535056.320004,34.069464,0.0,,,0.25,backfill
2024-09-16,32.955578,627880000.0,0.0005690605737979,357301.7530762854,20692148314.640003,32.955578,0.0,,,0.25,backfill
2024-09-17,34.322387,628360000.0,0.0005690566761495,357572.45302531787,21566815095.32,34.322387,0.0,,,0.25,backfill
2024-09-18,34.346443,628360000.0,0.0005690527785277,357570.00391570193,21581930923.48,34.346443,0.0,,,0.25,backfill
2024-09-19,36.082093,628360000.0,0.0005690488809326,357567.55482286075,22672543957.480003,36.082093,0.0,,,0.25,backfill
2024-09-20,35.799015,628360000.0,0.0005690449833643,357565.105746794,22494669065.4,35.799015,0.0,,,0.25,backfill
2024-09-23,36.068349,628360000.0,0.0005690332908193,357557.7586192396,22663907777.64,36.068349,0.0,,,0.25,backfill
2024-09-24,36.357428,628680000.0,0.0005690293933577,357737.3990161441,22857187835.04,36.357428,0.0,,,0.25,backfill
2024-09-25,36.010942,631400000.0,0.0005690254959228,359282.6981256792,22737308778.800003,36.010942,0.0,,,0.25,backfill
2024-09-26,37.053763,636520000.0,0.0005690215985146,362193.6278865308,23585461224.76,37.053763,0.0,,,0.25,backfill
2024-09-27,37.438964,639040000.0,0.0005690177011331,363625.07173210464,23924995554.56,37.438964,0.0,,,0.25,backfill
2024-09-30,36.075858,642000000.0,0.0005690060091487,365301.8578734872,23160700836.0,36.075858,0.0,,,0.25,backfill
2024-10-01,35.202594,644000000.0,0.0005690021118739,366437.3600468529,22670470536.0,35.202594,0.0,,,0.25,backfill
2024-10-02,34.342787,645160000.0,0.0005689982146259,367094.88814807776,22156592460.92,34.342787,0.0,,,0.25,backfill
2024-10-03,34.581659,644760000.0,0.0005689943174045,366864.7760897885,22296870456.84,34.581659,0.0,,,0.25,backfill
2024-10-04,35.474634,645800000.0,0.0005689904202099,367454.0133715785,22909518637.2,35.474634,0.0,,,0.25,backfill
2024-10-07,35.986414,645800000.0,0.0005689787287861,367446.46305007546,23240026161.2,35.986414,0.0,,,0.25,backfill
2024-10-08,35.328397,648520000.0,0.0005689748316982,368991.5578529364,22911172022.44,35.328397,0.0,,,0.25,backfill
2024-10-09,34.707268,649640000.0,0.000568970934637,369626.277977603,22547229583.52,34.707268,0.0,,,0.25,backfill
2024-10-10,33.844106,650040000.0,0.0005689670376025,369851.3331231488,22000022664.24,33.844106,0.0,,,0.25,backfill
2024-10-11,35.86584,649720000.0,0.0005689631405947,369666.7317072002,23302753564.8,35.86584,0.0,,,0.25,backfill
2024-10-14,37.50523,649720000.0,0.0005689514497314,369659.1359195049,24367898035.6,37.50523,0.0,,,0.25,backfill
2024-10-15,38.004903,651840000.0,0.0005689475528303,370862.7728369573,24773115971.52,38.004903,0.0,,,0.25,backfill
2024-10-16,38.56828,659440000.0,0.000568943655956,375184.2044836429,25433466563.2,38.56828,0.0,,,0.25,backfill
2024-10-17,38.054654,669640000.0,0.0005689397591083,380984.820289324,25482918504.56,38.054654,0.0,,,0.25,backfill
2024-10-18,39.117279,677760000.0,0.0005689358622873,385601.9700239002,26512127015.04,39.117279,0.0,,,0.25,backfill
2024-10-21,38.438144,679560000.0,0.0005689241719846,386618.1103138589,26121025136.64,38.438144,0.0,,,0.25,backfill
2024-10-22,38.378993,688120000.0,0.0005689202752703,391485.419819062,26409352663.160004,38.378993,0.0,,,0.25,backfill
2024-10-23,37.615485,689240000.0,0.0005689163785828,392119.9247744554,25926096881.4,37.615485,0.0,,,0.25,backfill
2024-10-24,38.676982,697680000.0,0.000568912481922,396918.8603873634,26984156801.76,38.676982,0.0,,,0.25,backfill
2024-10-25,38.015754,701960000.0,0.0005689085852878,399351.0705286848,26685538677.84,38.015754,0.0,,,0.25,backfill
2024-10-28,39.596337,709640000.0,0.0005688968955455,403711.9929549675,28099144588.68,39.596337,0.0,,,0.25,backfill
2024-10-29,41.529238,717600000.0,0.0005688929990181,408237.61609545496,29801381188.8,41.529238,0.0,,,0.25,backfill
2024-10-30,40.902623,733080000.0,0.0005688891025174,417041.2232735218,29984894868.84,40.902623,0.0,,,0.25,backfill
2024-10-31,40.050802,754400000.0,0.0005688852060434,429166.9994391985,30214325028.8,40.050802,0.0,,,0.25,backfill
2024-11-01,39.283427,762360000.0,0.0005688813095961,433692.3551837211,29948113407.72,39.283427,0.0,,,0.25,backfill
2024-11-04,38.421996,762360000.0,0.0005688696204142,433683.4438190446,29291392870.56,38.421996,0.0,,,0.25,backfill
2024-11-05,39.488654,763360000.0,0.0005688657240737,434249.33912891697,30144058917.439995,39.488654,0.0,,,0.25,backfill
2024-11-06,43.194745,762240000.0,0.0005688618277598,433609.2395916559,32924762428.800003,43.194745,0.0,,,0.25,backfill
2024-11-07,43.609968,760640000.0,0.0005688579314726,432696.0969953429,33171486059.52,43.609968,0.0,,,0.25,backfill
2024-11-08,43.670727,786320000.0,0.0005688540352121,447301.304967992,34339166054.64,43.670727,0.0,,,0.25,backfill
2024-11-11,49.50603,791040000.0,0.0005688423465906,449977.0498470995,39161249971.200005,49.50603,0.0,,,0.25,backfill
